1588,177,6776,1464233999
350,188,6776,1464234000
740,81,6776,1464234001
1068,66,6776,1464234002
1554,52,6776,1464234003
668,89,6776,1464234004
1989,48,6776,1464234005
540,185,6776,1464234006
516,7,6776,1464234007
630,193,6776,1464234008
461,104,6776,1464234010
417,54,6776,1464234012
1038,115,6776,1464234013
2100,18,6776,1464234014
1349,82,6776,1464234015
1479,17,6776,1464234017
1535,101,6776,1464234018
192,132,6776,1464234019
1311,77,6776,1464234020
20,11,6776,1464234022
214,49,6776,1464234023
521,57,6776,1464235800
1754,195,6776,1464235801
1059,161,6776,1464235802
303,172,6776,1464235804
291,174,6776,1464235806
702,171,6776,1464235808
1673,187,6776,1464235809
265,136,6776,1464235810
554,181,6776,1464235811
515,60,6776,1464235812
1074,117,6776,1464237601
733,146,6776,1464239400
69,30,6776,1464239403
1219,103,6776,1464239404
319,145,6776,1464239407
1996,154,6776,1464239408
1051,69,6776,1464239409
440,107,6776,1464239413
1955,21,6776,1464239416
288,5,6776,1464239418
394,63,6776,1464239425
428,106,6776,1464241200
464,114,6776,1464241202
2089,129,6776,1464241203
1768,102,6776,1464241205
951,56,6776,1464243000
1318,41,6776,1464243007
97,180,6776,1464243008
1559,164,6776,1464243009
329,19,6776,1464243011
642,20,6776,1464243017
500,4,6776,1464243019
1995,112,6776,1464243022
696,138,6776,1464243040
1816,130,6776,1464243043
1001,118,6776,1464243046
1037,144,6776,1464243048
280,123,6776,1464243053
1110,126,6776,1464244808
2006,194,6776,1464244809
996,59,6776,1464244819
1926,15,6776,1464246599
1127,147,6776,1464246600
1302,37,6776,1464246614
254,76,6776,1464246616
1525,22,6776,1464246620
442,173,6776,1464246627
198,190,6776,1464246630
1248,125,6776,1464246650
37,55,6776,1464248427
1978,28,6776,1464253806
577,150,6776,1464259204
1189,189,6776,1464259214
1638,141,6776,1464262816
661,42,6776,1464266406
982,166,6776,1464266417
904,100,6776,1464270006
969,46,6776,1464279018
137,6,6776,1464298840
1965,87,6776,1464313205
1092,127,6776,1464331228
336,79,6776,1464340208
1130,198,6776,1464360006
563,85,6776,1464363633
645,165,6776,1464424843
686,203,6776,1464441016
1215,200,6776,1464468037
133,207,6776,1464563417
994,170,6776,1464612028
859,196,6776,1464646252
1269,211,6776,1464671416
603,199,6776,1464693038
444,206,6776,1464725402
1427,202,6776,1464752399
1472,113,6776,1464770402
1320,214,6776,1464770415
472,205,6776,1464854999
448,75,6776,1464855030
2084,208,6776,1464894638
820,217,6776,1464909030
1693,9,6776,1464914415
1662,209,6776,1464923439
70,215,6776,1464930618
1313,224,6776,1464948660
1026,201,6776,1464954030
673,223,6776,1464964799
430,219,6776,1464990005
1416,204,6776,1465042204
1487,218,6776,1465044047
224,225,6776,1465069217
1903,33,6776,1465069221
534,228,6776,1465155652
1565,220,6776,1465233041
1859,231,6776,1465285285
1020,222,6776,1465290613
1492,210,6776,1465353603
1271,233,6776,1465359027
1992,230,6776,1465422091
900,226,6776,1465454400
1115,238,6776,1465643444
84,227,6776,1465652415
1516,234,6776,1465661413
1600,229,6776,1465764054
1326,239,6776,1465767661
1913,212,6776,1465890121
1424,237,6776,1465980060
